method,selected_k,population_closure_max_row_tv,population_exact_at_1e_minus_10,heldout_closure_mean_row_tv,ari_family8,ari_t2,max_ari_cube_coordinate2,tau,samples_per_state,repeat
oracle_k2,2,7.771561172376096e-16,True,0.013396380162764218,,-0.021739130434782608,1.0,0.4,500,99
oracle_k8,8,0.06809446002314314,False,0.07930381627687016,-0.12743628185907047,,,0.4,500,99
blind_raw_eigengap,4,0.06185811153064265,False,0.06666968823261447,,,,0.4,5000,0
oracle_k2,2,0.13447912906042947,False,0.06762633078752121,,0.23369565217391305,0.23369565217391305,0.4,5000,0
oracle_k8,8,0.06809446002314332,False,0.05632027687928068,-0.12743628185907047,,,0.4,5000,0
blind_raw_eigengap,4,0.061858111530642385,False,0.06659103168783263,,,,0.4,5000,1
oracle_k2,2,0.11009083491955132,False,0.045805623401464435,,0.04341926729986431,0.55359565807327,0.4,5000,1
oracle_k8,8,0.06809446002314332,False,0.05695443293827986,-0.12743628185907047,,,0.4,5000,1
blind_raw_eigengap,4,0.061858111530642496,False,0.06749420102663245,,,,0.4,5000,2
oracle_k2,2,7.771561172376096e-16,True,0.004814115090707582,,-0.021739130434782608,1.0,0.4,5000,2
oracle_k8,8,0.05233228014676906,False,0.05543898429918056,-0.12743628185907047,,,0.4,5000,2
blind_raw_eigengap,4,0.06185811153064233,False,0.06710106177016321,,,,0.4,5000,3
oracle_k2,2,7.771561172376096e-16,True,0.0050667776726860585,,-0.021739130434782608,1.0,0.4,5000,3
oracle_k8,8,0.052332280146768766,False,0.056682552531422854,-0.12743628185907047,,,0.4,5000,3
blind_raw_eigengap,4,0.06185811153064266,False,0.06608187254869283,,,,0.4,5000,4
oracle_k2,2,9.159339953157541e-16,True,0.005900772458840624,,-0.021739130434782608,1.0,0.4,5000,4
oracle_k8,8,0.05233228014676889,False,0.0563864329621327,-0.12743628185907047,,,0.4,5000,4
blind_raw_eigengap,4,0.06185811153064233,False,0.0673611705998689,,,,0.4,5000,5
oracle_k2,2,0.11009083491955157,False,0.04931249301616706,,0.04341926729986431,0.55359565807327,0.4,5000,5
oracle_k8,8,0.06809446002314323,False,0.05815126316644148,-0.12743628185907047,,,0.4,5000,5
blind_raw_eigengap,4,0.061858111530642496,False,0.0668748641711943,,,,0.4,5000,6
oracle_k2,2,9.159339953157541e-16,True,0.0058033018127626665,,-0.021739130434782608,1.0,0.4,5000,6
oracle_k8,8,0.05233228014676898,False,0.05582552412216954,-0.12743628185907047,,,0.4,5000,6
blind_raw_eigengap,4,0.061858111530642496,False,0.06620097871737608,,,,0.4,5000,7
oracle_k2,2,0.13447912906042947,False,0.06948882912086843,,0.23369565217391305,0.23369565217391305,0.4,5000,7
oracle_k8,8,0.06809446002314315,False,0.051039381496430114,-0.12743628185907047,,,0.4,5000,7
blind_raw_eigengap,4,0.061858111530642385,False,0.06737806809217471,,,,0.4,5000,8
oracle_k2,2,0.1344791290604291,False,0.06853258205487177,,0.23369565217391305,0.23369565217391305,0.4,5000,8
oracle_k8,8,0.06809446002314318,False,0.056968593709765196,-0.12743628185907047,,,0.4,5000,8
blind_raw_eigengap,4,0.06185811153064266,False,0.0675378408219726,,,,0.4,5000,9
oracle_k2,2,0.11009083491955128,False,0.04937423303358101,,0.04341926729986431,0.55359565807327,0.4,5000,9
oracle_k8,8,0.05233228014676883,False,0.05672849611551209,-0.12743628185907047,,,0.4,5000,9
blind_raw_eigengap,4,0.06185811153064265,False,0.06767018502161039,,,,0.4,5000,10
oracle_k2,2,0.13447912906042916,False,0.06759716332225009,,0.23369565217391305,0.23369565217391305,0.4,5000,10
oracle_k8,8,0.052332280146769,False,0.056563313093472366,-0.12743628185907047,,,0.4,5000,10
blind_raw_eigengap,4,0.06185811153064233,False,0.06661930088441496,,,,0.4,5000,11
oracle_k2,2,7.771561172376096e-16,True,0.004136568445262956,,-0.021739130434782608,1.0,0.4,5000,11
oracle_k8,8,0.06809446002314332,False,0.05580006881243823,-0.12743628185907047,,,0.4,5000,11
blind_raw_eigengap,4,0.06185811153064265,False,0.06567208731931158,,,,0.4,5000,12
oracle_k2,2,7.771561172376096e-16,True,0.004740008729093927,,-0.021739130434782608,1.0,0.4,5000,12
oracle_k8,8,0.05233228014676891,False,0.045683161138411914,-0.12743628185907047,,,0.4,5000,12
blind_raw_eigengap,4,0.06185811153064266,False,0.06740838416497229,,,,0.4,5000,13
oracle_k2,2,0.1344791290604291,False,0.06897008087432606,,0.23369565217391305,0.23369565217391305,0.4,5000,13
oracle_k8,8,0.05233228014676909,False,0.05714068861860066,-0.12743628185907047,,,0.4,5000,13
blind_raw_eigengap,4,0.06185811153064265,False,0.06695066622779242,,,,0.4,5000,14
oracle_k2,2,9.159339953157541e-16,True,0.004970977221023159,,-0.021739130434782608,1.0,0.4,5000,14
oracle_k8,8,0.08168106643557915,False,0.05388726876054314,-0.12743628185907047,,,0.4,5000,14
blind_raw_eigengap,4,0.06185811153064266,False,0.06771672583136118,,,,0.4,5000,15
oracle_k2,2,9.159339953157541e-16,True,0.005382020045666287,,-0.021739130434782608,1.0,0.4,5000,15
oracle_k8,8,0.052332280146768814,False,0.055023211113451743,-0.12743628185907047,,,0.4,5000,15
blind_raw_eigengap,4,0.06185811153064266,False,0.06572724964723399,,,,0.4,5000,16
oracle_k2,2,7.771561172376096e-16,True,0.004976690888687039,,-0.021739130434782608,1.0,0.4,5000,16
oracle_k8,8,0.06809446002314318,False,0.05706259865865043,-0.12743628185907047,,,0.4,5000,16
blind_raw_eigengap,4,0.061858111530642385,False,0.06683597505083162,,,,0.4,5000,17
oracle_k2,2,7.771561172376096e-16,True,0.004804782876809362,,-0.021739130434782608,1.0,0.4,5000,17
oracle_k8,8,0.06809446002314347,False,0.056746431979060964,-0.12743628185907047,,,0.4,5000,17
blind_raw_eigengap,4,0.06185811153064266,False,0.06728156797551192,,,,0.4,5000,18
oracle_k2,2,0.1344791290604291,False,0.06868466273197722,,0.23369565217391305,0.23369565217391305,0.4,5000,18
oracle_k8,8,0.052332280146768745,False,0.05661339510753317,-0.12743628185907047,,,0.4,5000,18
blind_raw_eigengap,4,0.06185811153064281,False,0.06790501205515372,,,,0.4,5000,19
oracle_k2,2,0.13447912906042922,False,0.065797170613856,,0.23369565217391305,0.23369565217391305,0.4,5000,19
oracle_k8,8,0.06809446002314343,False,0.055158903662056634,-0.12743628185907047,,,0.4,5000,19
blind_raw_eigengap,4,0.06185811153064266,False,0.0664337738742042,,,,0.4,5000,20
oracle_k2,2,0.0824774820408563,False,0.04362170886902428,,-0.016216216216216217,0.23783783783783785,0.4,5000,20
oracle_k8,8,0.05233228014676887,False,0.0545404443945394,-0.12743628185907047,,,0.4,5000,20
blind_raw_eigengap,4,0.061858111530642496,False,0.06669914780618424,,,,0.4,5000,21
oracle_k2,2,9.159339953157541e-16,True,0.00512345362399758,,-0.021739130434782608,1.0,0.4,5000,21
oracle_k8,8,0.05233228014676907,False,0.04621568129363161,-0.12743628185907047,,,0.4,5000,21
blind_raw_eigengap,4,0.061858111530642496,False,0.06695737947623968,,,,0.4,5000,22
oracle_k2,2,6.38378239159465e-16,True,0.004176276274086603,,-0.021739130434782608,1.0,0.4,5000,22
oracle_k8,8,0.05233228014676891,False,0.04681184610993009,-0.12743628185907047,,,0.4,5000,22
blind_raw_eigengap,4,0.06185811153064281,False,0.06650157578080731,,,,0.4,5000,23
oracle_k2,2,0.11009083491955197,False,0.048194785260774455,,0.04341926729986431,0.55359565807327,0.4,5000,23
oracle_k8,8,0.052332280146769064,False,0.05668750211369918,-0.12743628185907047,,,0.4,5000,23
blind_raw_eigengap,4,0.061858111530642496,False,0.06812010530204549,,,,0.4,5000,24
oracle_k2,2,0.11009083491955189,False,0.04847534501381917,,0.04341926729986431,0.55359565807327,0.4,5000,24
oracle_k8,8,0.06809446002314343,False,0.05620448326684694,-0.12743628185907047,,,0.4,5000,24
blind_raw_eigengap,4,0.06185811153064265,False,0.06643535132162261,,,,0.4,5000,25
oracle_k2,2,9.159339953157541e-16,True,0.0060285364288630945,,-0.021739130434782608,1.0,0.4,5000,25
oracle_k8,8,0.06809446002314326,False,0.05540408124362863,-0.12743628185907047,,,0.4,5000,25
blind_raw_eigengap,4,0.06185811153064265,False,0.06577444029643456,,,,0.4,5000,26
oracle_k2,2,9.159339953157541e-16,True,0.005500997075024375,,-0.021739130434782608,1.0,0.4,5000,26
oracle_k8,8,0.06809446002314314,False,0.0556904653315079,-0.12743628185907047,,,0.4,5000,26
blind_raw_eigengap,4,0.061858111530642385,False,0.06691829619568236,,,,0.4,5000,27
oracle_k2,2,7.771561172376096e-16,True,0.004342203502470814,,-0.021739130434782608,1.0,0.4,5000,27
oracle_k8,8,0.06809446002314325,False,0.05708412950696532,-0.12743628185907047,,,0.4,5000,27
blind_raw_eigengap,4,0.061858111530642385,False,0.06929738175394154,,,,0.4,5000,28
oracle_k2,2,6.38378239159465e-16,True,0.006214111826845886,,-0.021739130434782608,1.0,0.4,5000,28
oracle_k8,8,0.0680944600231434,False,0.0561610676983858,-0.12743628185907047,,,0.4,5000,28
blind_raw_eigengap,4,0.061858111530642496,False,0.06755461581836161,,,,0.4,5000,29
oracle_k2,2,9.159339953157541e-16,True,0.005577967544714911,,-0.021739130434782608,1.0,0.4,5000,29
oracle_k8,8,0.0523322801467689,False,0.05606528329328967,-0.12743628185907047,,,0.4,5000,29
blind_raw_eigengap,4,0.061858111530642496,False,0.06761643375776362,,,,0.4,5000,30
oracle_k2,2,0.1344791290604291,False,0.06644508229792528,,0.23369565217391305,0.23369565217391305,0.4,5000,30
oracle_k8,8,0.06809446002314329,False,0.05062381474126798,-0.12743628185907047,,,0.4,5000,30
blind_raw_eigengap,4,0.06185811153064233,False,0.06681179321800385,,,,0.4,5000,31
oracle_k2,2,7.771561172376096e-16,True,0.0051834866306669615,,-0.021739130434782608,1.0,0.4,5000,31
oracle_k8,8,0.05233228014676897,False,0.04521302779873315,-0.12743628185907047,,,0.4,5000,31
blind_raw_eigengap,4,0.06185811153064265,False,0.06741282637800962,,,,0.4,5000,32
oracle_k2,2,0.13447912906042916,False,0.0665138345722119,,0.23369565217391305,0.23369565217391305,0.4,5000,32
oracle_k8,8,0.052332280146768946,False,0.05778397027332192,-0.12743628185907047,,,0.4,5000,32
blind_raw_eigengap,4,0.061858111530642385,False,0.06654205845916246,,,,0.4,5000,33
oracle_k2,2,0.1344791290604291,False,0.06742633342638811,,0.23369565217391305,0.23369565217391305,0.4,5000,33
oracle_k8,8,0.052332280146768856,False,0.056341410491107795,-0.12743628185907047,,,0.4,5000,33
blind_raw_eigengap,4,0.06185811153064265,False,0.06779061017410531,,,,0.4,5000,34
oracle_k2,2,6.38378239159465e-16,True,0.005953691566459175,,-0.021739130434782608,1.0,0.4,5000,34
oracle_k8,8,0.06809446002314341,False,0.05594294938965746,-0.12743628185907047,,,0.4,5000,34
blind_raw_eigengap,4,0.061858111530642385,False,0.06692656716998323,,,,0.4,5000,35
oracle_k2,2,0.13447912906042947,False,0.06802841688124821,,0.23369565217391305,0.23369565217391305,0.4,5000,35
oracle_k8,8,0.0680944600231432,False,0.0580472266176535,-0.12743628185907047,,,0.4,5000,35
blind_raw_eigengap,4,0.061858111530642496,False,0.0677652597691188,,,,0.4,5000,36
oracle_k2,2,0.13447912906042922,False,0.0678742426799221,,0.23369565217391305,0.23369565217391305,0.4,5000,36
oracle_k8,8,0.05233228014676901,False,0.05688241996811117,-0.12743628185907047,,,0.4,5000,36
blind_raw_eigengap,4,0.06185811153064233,False,0.06730957843071897,,,,0.4,5000,37
oracle_k2,2,0.13447912906042916,False,0.06793466241947983,,0.23369565217391305,0.23369565217391305,0.4,5000,37
oracle_k8,8,0.05233228014676901,False,0.05637458673415468,-0.12743628185907047,,,0.4,5000,37
blind_raw_eigengap,4,0.06185811153064233,False,0.06677697771185405,,,,0.4,5000,38
oracle_k2,2,9.159339953157541e-16,True,0.006084406484112628,,-0.021739130434782608,1.0,0.4,5000,38
oracle_k8,8,0.06809446002314345,False,0.05748581397175886,-0.12743628185907047,,,0.4,5000,38
blind_raw_eigengap,4,0.06185811153064233,False,0.06685857582525027,,,,0.4,5000,39
oracle_k2,2,0.11009083491955125,False,0.04705145302187395,,0.04341926729986431,0.55359565807327,0.4,5000,39
oracle_k8,8,0.05233228014676912,False,0.0444269961077944,-0.12743628185907047,,,0.4,5000,39
blind_raw_eigengap,4,0.06185811153064266,False,0.06673263280112886,,,,0.4,5000,40
oracle_k2,2,7.771561172376096e-16,True,0.004874528927536723,,-0.021739130434782608,1.0,0.4,5000,40
oracle_k8,8,0.05233228014676883,False,0.0571996910589385,-0.12743628185907047,,,0.4,5000,40
blind_raw_eigengap,4,0.06185811153064233,False,0.06724150611646279,,,,0.4,5000,41
oracle_k2,2,0.13447912906042922,False,0.06757632939864391,,0.23369565217391305,0.23369565217391305,0.4,5000,41
oracle_k8,8,0.052332280146768786,False,0.05708642300295399,-0.12743628185907047,,,0.4,5000,41
blind_raw_eigengap,4,0.061858111530642496,False,0.06721092033043342,,,,0.4,5000,42
oracle_k2,2,0.1344791290604291,False,0.06853049346116559,,0.23369565217391305,0.23369565217391305,0.4,5000,42
oracle_k8,8,0.052332280146768814,False,0.04523320242010994,-0.12743628185907047,,,0.4,5000,42
blind_raw_eigengap,4,0.06185811153064266,False,0.06687864237858739,,,,0.4,5000,43
oracle_k2,2,7.771561172376096e-16,True,0.005570060388385655,,-0.021739130434782608,1.0,0.4,5000,43
oracle_k8,8,0.05233228014676869,False,0.0560814348705768,-0.12743628185907047,,,0.4,5000,43
blind_raw_eigengap,4,0.06185811153064233,False,0.0671729550681644,,,,0.4,5000,44
oracle_k2,2,0.13447912906042947,False,0.06748466346113784,,0.23369565217391305,0.23369565217391305,0.4,5000,44
oracle_k8,8,0.06809446002314326,False,0.05230964867820357,-0.12743628185907047,,,0.4,5000,44
blind_raw_eigengap,4,0.061858111530642496,False,0.06710338933146674,,,,0.4,5000,45
oracle_k2,2,6.38378239159465e-16,True,0.005269557406466059,,-0.021739130434782608,1.0,0.4,5000,45
oracle_k8,8,0.05233228014676887,False,0.054587338069249126,-0.12743628185907047,,,0.4,5000,45
blind_raw_eigengap,4,0.06185811153064233,False,0.0688793787429308,,,,0.4,5000,46
oracle_k2,2,6.38378239159465e-16,True,0.005188237702185802,,-0.021739130434782608,1.0,0.4,5000,46
oracle_k8,8,0.06809446002314326,False,0.05643034239284197,-0.12743628185907047,,,0.4,5000,46
blind_raw_eigengap,4,0.06185811153064281,False,0.06762415072275368,,,,0.4,5000,47
oracle_k2,2,0.1344791290604291,False,0.06760340827020887,,0.23369565217391305,0.23369565217391305,0.4,5000,47
oracle_k8,8,0.06847297193793825,False,0.05299539299810938,-0.12743628185907047,,,0.4,5000,47
blind_raw_eigengap,4,0.061858111530642496,False,0.06706490311434064,,,,0.4,5000,48
oracle_k2,2,7.771561172376096e-16,True,0.005118211688513715,,-0.021739130434782608,1.0,0.4,5000,48
oracle_k8,8,0.052332280146768745,False,0.05598245963437715,-0.12743628185907047,,,0.4,5000,48
blind_raw_eigengap,4,0.06185811153064266,False,0.06633067897736743,,,,0.4,5000,49
oracle_k2,2,9.159339953157541e-16,True,0.005345206359391443,,-0.021739130434782608,1.0,0.4,5000,49
oracle_k8,8,0.06809446002314341,False,0.057001818102366264,-0.12743628185907047,,,0.4,5000,49
blind_raw_eigengap,4,0.06185811153064265,False,0.06729793104118752,,,,0.4,5000,50
oracle_k2,2,0.13447912906042916,False,0.06750341684652629,,0.23369565217391305,0.23369565217391305,0.4,5000,50
oracle_k8,8,0.06847297193793828,False,0.05375078991517631,-0.12743628185907047,,,0.4,5000,50
blind_raw_eigengap,4,0.06185811153064233,False,0.06740291865271159,,,,0.4,5000,51
oracle_k2,2,0.11009083491955131,False,0.0479061778267891,,0.04341926729986431,0.55359565807327,0.4,5000,51
oracle_k8,8,0.052332280146768786,False,0.05648782270751462,-0.12743628185907047,,,0.4,5000,51
