tau,samples_per_state,repeat,resolved_count
0.4,500,12,24
0.4,500,13,25
0.4,500,14,25
0.4,500,15,24
0.4,500,16,24
0.4,500,17,24
0.4,500,18,24
0.4,500,19,24
0.4,500,20,24
0.4,500,21,24
0.4,500,22,24
0.4,500,23,23
0.4,500,24,24
0.4,500,25,24
0.4,500,26,24
0.4,500,27,25
0.4,500,28,25
0.4,500,29,24
0.4,500,30,24
0.4,500,31,24
0.4,500,32,24
0.4,500,33,24
0.4,500,34,24
0.4,500,35,24
0.4,500,36,24
0.4,500,37,24
0.4,500,38,24
0.4,500,39,23
0.4,500,40,25
0.4,500,41,24
0.4,500,42,25
0.4,500,43,24
0.4,500,44,24
0.4,500,45,23
0.4,500,46,25
0.4,500,47,24
0.4,500,48,24
0.4,500,49,25
0.4,500,50,25
0.4,500,51,24
0.4,500,52,24
0.4,500,53,25
0.4,500,54,24
0.4,500,55,24
0.4,500,56,25
0.4,500,57,23
0.4,500,58,23
0.4,500,59,24
0.4,500,60,24
0.4,500,61,23
0.4,500,62,24
0.4,500,63,23
0.4,500,64,25
0.4,500,65,24
0.4,500,66,24
0.4,500,67,23
0.4,500,68,24
0.4,500,69,24
0.4,500,70,23
0.4,500,71,24
0.4,500,72,24
0.4,500,73,23
0.4,500,74,25
0.4,500,75,24
0.4,500,76,24
0.4,500,77,24
0.4,500,78,24
0.4,500,79,24
0.4,500,80,24
0.4,500,81,25
0.4,500,82,24
0.4,500,83,24
0.4,500,84,24
0.4,500,85,24
0.4,500,86,24
0.4,500,87,24
0.4,500,88,24
0.4,500,89,24
0.4,500,90,24
0.4,500,91,24
0.4,500,92,24
0.4,500,93,25
0.4,500,94,23
0.4,500,95,24
0.4,500,96,24
0.4,500,97,24
0.4,500,98,24
0.4,500,99,24
0.4,5000,0,40
0.4,5000,1,40
0.4,5000,2,40
0.4,5000,3,40
0.4,5000,4,40
0.4,5000,5,40
0.4,5000,6,40
0.4,5000,7,40
0.4,5000,8,40
0.4,5000,9,40
0.4,5000,10,41
