model,samples_per_state,repeat,observed_micro_ei_bits,observed_macro_ei_bits,observed_delta_ei_bits,null_micro_ei_bits,null_macro_ei_bits,null_delta_ei_bits
eta_0,100,19,1.1964446208035946,0.8645912866986301,-0.33185333410496454,0.3731322919811659,0.008756766158219732,-0.36437552582294613
eta_0,100,20,1.1932006237165946,0.8403810605484949,-0.3528195631680997,0.3751553131717795,0.005192588629631416,-0.3699627245421481
eta_0,100,21,1.1811256783682096,0.8532149112942032,-0.32791076707400635,0.38148518450423313,0.008213430823162147,-0.37327175368107096
eta_0,100,22,1.184453070782875,0.8635395066915311,-0.320913564091344,0.37902288022161373,0.006600081527400558,-0.3724227986942132
eta_0,100,23,1.1818591553557525,0.8586532585893709,-0.32320589676638156,0.3733802961488009,0.00888833833483238,-0.36449195781396854
eta_0,100,24,1.1715239979352534,0.8489433977627777,-0.3225806001724757,0.3944045310353643,0.007472585512354709,-0.38693194552300963
eta_0,100,25,1.1757538634804843,0.8574010968982205,-0.31835276658226375,0.3757601498302267,0.008941502908877057,-0.36681864692134963
eta_0,100,26,1.169512287174862,0.8396145023438135,-0.3298977848310485,0.3760019362339846,0.006593376224166233,-0.36940856000981837
eta_0,100,27,1.179535553605302,0.8562193666158889,-0.3233161869894131,0.3733997839824558,0.005075699243985616,-0.3683240847384702
eta_0,100,28,1.1573558755790823,0.8313644398052021,-0.3259914357738801,0.393148680103536,0.0063075487905304975,-0.3868411313130055
eta_0,100,29,1.178755602021249,0.8425496677166348,-0.3362059343046143,0.3809296284655428,0.0061780703170389115,-0.37475155814850386
eta_0,100,30,1.1987631278673423,0.871422717383229,-0.32734041048411333,0.36651791168668596,0.008710893332067399,-0.3578070183546186
eta_0,100,31,1.1968610092669385,0.8772590257689249,-0.3196019834980136,0.3627982874419207,0.005752667923706526,-0.3570456195182142
eta_0,100,32,1.1935142860253578,0.8798954286602322,-0.3136188573651256,0.37419765868161364,0.008729521397132118,-0.3654681372844815
eta_0,100,33,1.226347438652066,0.8991957556904093,-0.32715168296165675,0.3771416304002247,0.0085784901421222,-0.3685631402581025
eta_0,100,34,1.201304492777371,0.8862620673216145,-0.31504242545575656,0.3804824505141589,0.007154559454085156,-0.37332789106007375
eta_0,100,35,1.1788043176360279,0.840479310844908,-0.3383250067911199,0.38034688803842487,0.008700071449782713,-0.3716468165886422
eta_0,100,36,1.1556852405934859,0.8354956676290203,-0.3201895729644656,0.36631599843133494,0.0070675715586358935,-0.35924842687269903
eta_0,100,37,1.220821204807765,0.9036351757403609,-0.317186029067404,0.3888232344653695,0.008267507725988263,-0.3805557267393812
eta_0,100,38,1.1582931568743007,0.8308434720197555,-0.3274496848545452,0.3776522297789932,0.006714334668363723,-0.37093789511062947
eta_0,100,39,1.1834081436039066,0.8610392458454628,-0.3223688977584438,0.3845120794604573,0.006972099344968791,-0.3775399801154885
eta_0,100,40,1.1638364169539814,0.8343521029409258,-0.32948431401305567,0.37453830358829804,0.008865889545696403,-0.36567241404260165
eta_0,100,41,1.184977797154825,0.8768273992526454,-0.3081503979021796,0.3859619043174341,0.00905231346380787,-0.37690959085362624
eta_0,100,42,1.1956255795655957,0.8676637046496665,-0.3279618749159292,0.3812732834047135,0.0066444569804005715,-0.37462882642431294
eta_0,100,43,1.194873634532257,0.8656149480197273,-0.32925868651252976,0.3581473483426665,0.007318536998262614,-0.35082881134440386
eta_0,100,44,1.1663648518690148,0.8354284293648855,-0.33093642250412936,0.3912613246063413,0.012057576150157661,-0.3792037484561836
eta_0,100,45,1.1978159662717573,0.8632393935736355,-0.3345765726981218,0.36924863042917755,0.0066803569519890095,-0.36256827347718856
eta_0,100,46,1.1815197344117883,0.8636416202295656,-0.31787811418222267,0.40289370373404115,0.0074174354715150475,-0.39547626826252613
eta_0,100,47,1.1769688799039735,0.8378428629251142,-0.33912601697885925,0.38231911343376135,0.007670677895939308,-0.37464843553782207
eta_0,100,48,1.1603705574755079,0.8395655910053053,-0.3208049664702026,0.3728368694723305,0.006951225562458668,-0.3658856439098719
eta_0,100,49,1.203730106316667,0.8779696574268494,-0.3257604488898176,0.36718721196152865,0.00822224861410648,-0.3589649633474222
eta_0,100,50,1.1974528523670966,0.8819573472917481,-0.3154955050753485,0.3797726700712089,0.009616532207543957,-0.37015613786366497
eta_0,100,51,1.1364717692958604,0.8218746081628774,-0.31459716113298297,0.38039480448063373,0.007387672962965552,-0.3730071315176682
eta_0,100,52,1.2075327629740942,0.89477629038933,-0.31275647258476413,0.3883293635476613,0.009016886729918292,-0.379312476817743
eta_0,100,53,1.1729348831448683,0.8369142471165343,-0.336020636028334,0.3699477448235757,0.007232942647680905,-0.36271480217589475
eta_0,100,54,1.2284482902610085,0.890345397281098,-0.3381028929799106,0.3696502966864276,0.006241683318000708,-0.3634086133684269
eta_0,100,55,1.2321852824613908,0.9075534674692192,-0.32463181499217164,0.3803367408507918,0.008616515481406937,-0.3717202253693848
eta_0,100,56,1.1899179406778837,0.8584361557706333,-0.33148178490725044,0.36260025235855387,0.006686120663668879,-0.355914131694885
eta_0,100,57,1.1999380698229654,0.8697223946321742,-0.3302156751907912,0.37724283456194013,0.009491142650108406,-0.3677516919118317
eta_0,100,58,1.1741228815364442,0.8376147929646951,-0.3365080885717491,0.3840272896077059,0.007355152941060471,-0.3766721366666454
eta_0,100,59,1.1850543105034348,0.8552148540901582,-0.3298394564132766,0.37794688588790465,0.0112457886948945,-0.36670109719301014
eta_0,100,60,1.194193446353264,0.8672874211576855,-0.32690602519557843,0.38690605133498623,0.008589686954868045,-0.3783163643801182
eta_0,100,61,1.1539486461238253,0.8244569094543905,-0.32949173666943476,0.41238049264918736,0.007815689622698015,-0.40456480302648934
eta_0,100,62,1.1823165911350033,0.8682571962842461,-0.3140593948507572,0.36771762830822957,0.008060766911011335,-0.35965686139721825
eta_0,100,63,1.169972799177323,0.8592491960156978,-0.3107236031616252,0.3676488462832393,0.005838503343604708,-0.3618103429396346
eta_0,100,64,1.1860825280500171,0.8581251176563005,-0.3279574103937166,0.37276783248992124,0.00727831932361071,-0.3654895131663105
eta_0,100,65,1.1900329361269224,0.8618638010265078,-0.32816913510041457,0.3831625927733781,0.009160777557088662,-0.37400181521628945
eta_0,100,66,1.202067093493875,0.8799266155068832,-0.32214047798699186,0.3797662208931201,0.00606427479413525,-0.3737019460989849
eta_0,100,67,1.1902013737590675,0.844698035666618,-0.3455033380924495,0.39426176745064395,0.00791090002413777,-0.3863508674265062
eta_0,100,68,1.1533617783128538,0.8314322762119372,-0.32192950210091664,0.394765871796442,0.006718073599037382,-0.38804779819740465
eta_0,100,69,1.1723907211122937,0.8576992797745093,-0.31469144133778437,0.3853650257791821,0.006557592461621961,-0.3788074333175601
eta_0,100,70,1.181269630362843,0.8679033127282836,-0.31336631763455935,0.3728635260073019,0.006232567414269932,-0.36663095859303196
eta_0,100,71,1.1814091390560642,0.863406761754069,-0.3180023773019951,0.38353497513194085,0.008627620332289587,-0.37490735479965126
eta_0,100,72,1.1709489283254484,0.8287124549747825,-0.34223647335066587,0.3754222204589492,0.004683873213904718,-0.37073834724504445
eta_0,100,73,1.156818079489659,0.8201489134996459,-0.33666916599001306,0.37260438714719707,0.00797788765857933,-0.36462649948861775
eta_0,100,74,1.1826867474661384,0.876835230733483,-0.3058515167326554,0.39528441446303036,0.008315261923900578,-0.3869691525391298
eta_0,100,75,1.1987188865713925,0.8864043153552643,-0.31231457121612816,0.3722543878196835,0.00735575197766971,-0.3648986358420138
eta_0,100,76,1.167848217006478,0.8606398903881551,-0.30720832661832276,0.37057343542015886,0.006828633160817724,-0.36374480225934114
eta_0,100,77,1.2165505918145285,0.8840098487755774,-0.3325407430389511,0.37550105171696696,0.0067128894941338646,-0.3687881622228331
eta_0,100,78,1.132220607418174,0.8039613840632642,-0.32825922335490976,0.38384129461401817,0.00691577026205995,-0.3769255243519582
eta_0,100,79,1.1708625239005508,0.849228414063587,-0.32163410983696383,0.3820506352779491,0.006108675356771499,-0.37594195992117757
eta_0,100,80,1.1563956370900046,0.8333698890876098,-0.3230257480023948,0.3823851597184184,0.007744230309830657,-0.37464092940858773
eta_0,100,81,1.211256231705949,0.8876232981523056,-0.3236329335536434,0.39512195803588535,0.011008063002953903,-0.3841138950329314
eta_0,100,82,1.1671794798212236,0.8514927224034037,-0.31568675741781993,0.38377591471548794,0.005381666189798068,-0.37839424852568987
eta_0,100,83,1.1569569773171493,0.8476502024957878,-0.3093067748213615,0.3796496289177808,0.007200896945585889,-0.3724487319721949
eta_0,100,84,1.2056280198222633,0.8738424478977369,-0.3317855719245264,0.374719244843692,0.007723078695781028,-0.366996166147911
