model,samples_per_state,repeat,discovered_ari_to_hidden_families,discovered_group_count,discovered_min_group_size,discovered_max_group_size,discovered_population_closure_tv,hidden_population_closure_tv,discovered_heldout_closure_tv,hidden_heldout_closure_tv,random_median_heldout_closure_tv,random_best_heldout_closure_tv,discovered_heldout_macro_log_loss,hidden_heldout_macro_log_loss,random_median_heldout_macro_log_loss
eta_0,100,11,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08787803532008831,0.08787803532008831,0.19678600993377485,0.1701655629139073,1.4952262120529227,1.4952262120529227,2.057908096197297
eta_0,100,12,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.0835692604856512,0.0835692604856512,0.20019281181015453,0.17862513796909493,1.4850328608633994,1.4850328608633994,2.0561120002235223
eta_0,100,13,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09198813465783666,0.09198813465783666,0.20285423565121416,0.1763389900662252,1.5007449314555819,1.5007449314555819,2.0581843259475012
eta_0,100,14,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08571399006622515,0.08571399006622517,0.20023489238410597,0.17588645143487858,1.4863306137256158,1.4863306137256158,2.0542093844054494
eta_0,100,15,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09215300772626933,0.09215300772626933,0.1978366445916115,0.17169564017660044,1.4816360064011813,1.4816360064011813,2.0541971903768452
eta_0,100,16,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08307326158940397,0.08307326158940398,0.19624586092715235,0.17186741169977926,1.4764473848657813,1.4764473848657813,2.0561263414996427
eta_0,100,17,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08976062362030905,0.08976062362030905,0.2000203504415011,0.17130242825607067,1.4562351747248408,1.4562351747248408,2.0568956612296034
eta_0,100,18,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09341818432671083,0.09341818432671083,0.19935844370860925,0.168103614790287,1.474561960209753,1.474561960209753,2.05402465759042
eta_0,100,19,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.07865687086092715,0.07865687086092715,0.20142660044150112,0.1759519867549669,1.4765895728344969,1.4765895728344969,2.052862748637648
eta_0,100,20,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08808360927152319,0.08808360927152319,0.20116721854304637,0.1702511037527594,1.4844466706387158,1.4844466706387156,2.0549312988971544
eta_0,100,21,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08271040286975719,0.08271040286975719,0.19363100165562913,0.1673427152317881,1.509024803050207,1.509024803050207,2.059522851403049
eta_0,100,22,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09127552428256071,0.09127552428256071,0.1920191777041943,0.17598854856512144,1.516215760766189,1.516215760766189,2.0566793756510595
eta_0,100,23,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09256346578366448,0.09256346578366446,0.20292287527593822,0.18254070088300223,1.4779878460838145,1.4779878460838145,2.056467984494147
eta_0,100,24,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09585402869757176,0.09585402869757176,0.19436292770419425,0.16066570088300222,1.5028714282577886,1.5028714282577886,2.0572352186756424
eta_0,100,25,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09216818432671081,0.09216818432671081,0.19608098785871964,0.17435775386313468,1.5134998262012689,1.5134998262012687,2.0563355374316714
