model,horizon,requested_k,matching_target,method,repeats,median_matching_ari,q05_matching_ari,q95_matching_ari,exact_recovery_rate,category,median_discovered_closure_tv
ECMrest,1.0,23,L23,spectral,30,0.6595893788771511,0.6177260519247986,0.6995487122472211,0.0,PARTIAL,0.23649084320800529
ECMunrest,0.01,16,B16,jump_profile,30,0.3745704421897881,0.2374307423905107,0.4329310491891212,0.0,WEAK_NULL,0.005610306706913214
ECMunrest,0.01,16,B16,spectral,30,0.5552154612906844,0.5552154612906844,0.5552154612906844,0.0,PARTIAL,0.0023497623775703665
ECMunrest,0.01,20,AA20,jump_profile,30,0.496417975619031,0.39109751305985446,0.6230543659975011,0.0,PARTIAL,0.006099063384417548
ECMunrest,0.01,20,AA20,spectral,30,1.0,1.0,1.0,1.0,EXACT,0.0021621699888670657
ECMunrest,0.01,23,L23,jump_profile,30,0.35050836134366065,0.27635701240024113,0.44549360896367984,0.0,WEAK_NULL,0.00659746908505111
ECMunrest,0.01,23,L23,spectral,30,0.7991253721120156,0.7991253721120156,0.7991253721120156,0.0,STRONG,0.0042876000935318775
ECMunrest,0.05,16,B16,jump_profile,30,0.41690424283078986,0.29614656415302343,0.4702140001029271,0.0,PARTIAL,0.02667412817482514
ECMunrest,0.05,16,B16,spectral,30,0.5552154612906844,0.5552154612906844,0.5552154612906844,0.0,PARTIAL,0.011570349307993699
ECMunrest,0.05,20,AA20,jump_profile,30,0.5308366787825644,0.41711511147574926,0.6153704292355596,0.0,PARTIAL,0.027708037847843217
ECMunrest,0.05,20,AA20,spectral,30,1.0,1.0,1.0,1.0,EXACT,0.010413836404041255
ECMunrest,0.05,23,L23,jump_profile,30,0.3580570445889155,0.29570875623549586,0.4536806996624114,0.0,WEAK_NULL,0.03183036727563658
ECMunrest,0.05,23,L23,spectral,30,0.7991253721120156,0.7991253721120156,0.7991253721120156,0.0,STRONG,0.020459835459253797
ECMunrest,0.1,16,B16,jump_profile,30,0.38169649648732695,0.3111565683136072,0.46819919616677047,0.0,WEAK_NULL,0.05219345863688002
ECMunrest,0.1,16,B16,spectral,30,0.5552154612906844,0.5552154612906844,0.5552154612906844,0.0,PARTIAL,0.02270303204503283
ECMunrest,0.1,20,AA20,jump_profile,30,0.5261663563908077,0.43849257966656624,0.648817863931381,0.0,PARTIAL,0.053324603039121024
ECMunrest,0.1,20,AA20,spectral,30,1.0,1.0,1.0,1.0,EXACT,0.01988210652604537
ECMunrest,0.1,23,L23,jump_profile,30,0.3805082973382873,0.29170777998880953,0.4602923324284072,0.0,WEAK_NULL,0.058167268298181724
ECMunrest,0.1,23,L23,spectral,30,0.7991253721120156,0.7991253721120156,0.8503839206413473,0.0,STRONG,0.038608826365268085
ECMunrest,0.5,16,B16,jump_profile,30,0.4140483010377184,0.3545945494558469,0.4693540823057002,0.0,PARTIAL,0.1816452522200583
ECMunrest,0.5,16,B16,spectral,30,0.5552154612906844,0.5552154612906844,0.5552154612906844,0.0,PARTIAL,0.09758345759159988
ECMunrest,0.5,20,AA20,jump_profile,30,0.6020188425483741,0.5361083157674702,0.690993881590941,0.0,PARTIAL,0.18545721638851573
ECMunrest,0.5,20,AA20,spectral,30,1.0,1.0,1.0,1.0,EXACT,0.0696073074014937
ECMunrest,0.5,23,L23,jump_profile,30,0.45505175938321507,0.3780861477071276,0.5604663334976806,0.0,PARTIAL,0.2046160696175835
ECMunrest,0.5,23,L23,spectral,30,0.7991253721120156,0.7991253721120156,0.7991253721120156,0.0,STRONG,0.12268468347734156
ECMunrest,1.0,16,B16,jump_profile,30,0.42550250256559385,0.3145697466994407,0.5131262829537039,0.0,PARTIAL,0.2170849543541869
ECMunrest,1.0,16,B16,spectral,30,0.5552154612906844,0.5552154612906844,0.5552154612906844,0.0,PARTIAL,0.162157935189364
ECMunrest,1.0,20,AA20,jump_profile,30,0.6446674234739713,0.5448607135082377,0.7302617397459565,0.0,PARTIAL,0.23313184519806962
ECMunrest,1.0,20,AA20,spectral,30,1.0,1.0,1.0,1.0,EXACT,0.09227531433255982
ECMunrest,1.0,23,L23,jump_profile,30,0.4909618145830278,0.4333552515410702,0.5350456435104421,0.0,PARTIAL,0.25111925973441274
ECMunrest,1.0,23,L23,spectral,30,0.7991253721120156,0.7991253721120156,0.8503839206413473,0.0,STRONG,0.14306436845675577
