model,horizon,requested_k,matching_target,repeat,method,discovered_closure_tv,ari_B16,ari_AA20,ari_L23
ECMunrest,0.01,20,AA20,17,jump_profile,0.005369866822808489,0.355623567037494,0.45510519851334325,0.3512823694145589
ECMunrest,0.01,20,AA20,17,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,18,jump_profile,0.005686620693947699,0.45020429567155373,0.6335522309452097,0.45646782164575334
ECMunrest,0.01,20,AA20,18,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,19,jump_profile,0.0059482577457059625,0.3657081316613644,0.49340275833753244,0.3711607541394775
ECMunrest,0.01,20,AA20,19,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,20,jump_profile,0.006604135180148325,0.39968805317950556,0.45925013530410763,0.4359895423725211
ECMunrest,0.01,20,AA20,20,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,21,jump_profile,0.0056932213568062105,0.3591743772241993,0.528957528957529,0.3767710843373494
ECMunrest,0.01,20,AA20,21,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,22,jump_profile,0.0064665643944139565,0.4167667913289222,0.47116120148911217,0.36025780371069543
ECMunrest,0.01,20,AA20,22,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,23,jump_profile,0.005071704034862597,0.3048645999264796,0.43095963794218156,0.3274178305155938
ECMunrest,0.01,20,AA20,23,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,24,jump_profile,0.006330303838367756,0.38698424432842027,0.5062405347537731,0.39625267036434547
ECMunrest,0.01,20,AA20,24,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,25,jump_profile,0.006600312077504496,0.31082835210974186,0.38154782020953026,0.29007537913376663
ECMunrest,0.01,20,AA20,25,spectral,0.002162169988867066,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,26,jump_profile,0.006330202176577917,0.4211425317897134,0.5107754855718074,0.41369945152813786
ECMunrest,0.01,20,AA20,26,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,27,jump_profile,0.006382026017302738,0.36156771537228527,0.45654440337408775,0.4057798463037125
ECMunrest,0.01,20,AA20,27,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,28,jump_profile,0.005678948076820336,0.3965856512258682,0.5650885203877273,0.38603366883406076
ECMunrest,0.01,20,AA20,28,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.01,20,AA20,29,jump_profile,0.0039726061225499095,0.4360024136566249,0.5941212156793675,0.47899575194983257
ECMunrest,0.01,20,AA20,29,spectral,0.0021621699888670657,0.7059402239143695,1.0,0.8333447168909227
